Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-biobank-de-v2026.json	33803	-	0	0	0	0	0	0	26	206	0	0	0	0	0	0	0	1	0	0	29	198	546	0	0	0	10	0	4
fsh-generated/resources/CapabilityStatement-mii-cps-biobank-capabilitystatement.json	37909	8	0	0	2	0	0	0	4	526	0	0	0	0	0	0	0	0	0	0	10	86	167	0	0	0	3	0	1
fsh-generated/resources/CodeSystem-mii-cs-biobank-contact-type.json	2726	2	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	11	10	96	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-biobank-probenebene.json	3203	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	10	115	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-mii-cm-biobank-fixation-type-sprec-sct.json	3601	1	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	1	0	0	10	10	76	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-mii-cm-biobank-long-term-storage-sprec-sct.json	9905	3	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	10	24	85	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-mii-cm-biobank-primary-container-sprec-sct.json	20223	3	0	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	12	32	104	0	0	0	1	0	1
fsh-generated/resources/ConceptMap-mii-cm-biobank-sample-type-sprec-sct.json	12487	3	0	0	0	0	0	0	2	12	0	0	0	0	0	0	0	0	0	0	12	28	102	0	0	0	2	0	0
fsh-generated/resources/DocumentReference-Kulturprotokoll.json	460	2	0	0	0	0	0	0	0	962	0	0	0	0	0	0	0	0	0	0	9	5	15	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-ProtocolCRISPRTP53.json	541	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	10	5	9	0	0	0	0	0	0
fsh-generated/resources/Observation-DNAConcentrationObs1.json	711	1	0	0	0	0	0	0	0	949	0	0	0	0	0	0	0	0	0	0	9	7	27	0	0	0	0	0	0
fsh-generated/resources/Observation-KaryotypOrganoidLunge.json	745	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	9	6	15	0	0	0	0	0	0
fsh-generated/resources/Observation-MorphologieOrganoidLunge.json	795	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	5	17	0	0	0	0	0	0
fsh-generated/resources/Observation-ProliferationOrganoidLunge.json	784	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	6	19	0	0	0	0	0	0
