URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/body-site,4.0.1,draft,"2.16.840.1.113883.4.642.3.141",SNOMEDCTBodyStructures,SNOMED CT Body Structures,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/mii-pr-biobank-observation-proliferation,StructureDefinition/mii-pr-biobank-observation-wachstumstyp,StructureDefinition/mii-ex-biobank-feature-r5,StructureDefinition/mii-pr-biobank-observation-qualitaetspruefung,StructureDefinition/mii-pr-biobank-specimen,StructureDefinition/mii-pr-biobank-observation-dna-konzentration,StructureDefinition/mii-pr-biobank-observation-morphologie,StructureDefinition/mii-pr-biobank-specimen-core,StructureDefinition/mii-pr-biobank-observation-karyotyp,StructureDefinition/mii-pr-biobank-zellinie-organoid","SCT"
http://loinc.org/vs/LL3837-3,null,active,,LOINCAnswersLL3837-3,LOINC Answer Codes for LL3837-3,"","StructureDefinition/mii-pr-biobank-observation-qualitaetspruefung","LOINC"
http://terminology.hl7.org/ValueSet/v2-0916,3.0.0,active,"2.16.840.1.113883.21.440",Hl7VSRelevantClincialInformation,hl7VS-relevantClincialInformation,"Value Set of codes that specify additional clinical information about the patient or specimen to report the supporting and/or suspected diagnosis and clinical findings on requests for interpreted diagnostic studies.","StructureDefinition/mii-pr-biobank-specimen,StructureDefinition/mii-pr-biobank-specimen-core,StructureDefinition/mii-pr-biobank-zellinie-organoid","THO (V2)"
https://fhir.bbmri-eric.eu/fhir/ValueSet/miabis-detailed-sample-type-vs,null,active,,DetailedSampleTypeVS,DetailedSampleTypeVS,"This value set contains codes for the detailed sample type of the sample.","StructureDefinition/mii-pr-biobank-specimen,StructureDefinition/mii-pr-biobank-zellinie-organoid","eu.miabis.r4"
https://www.medizininformatik-initiative.de/fhir/ext/modul-biobank/ValueSet/mii-vs-biobank-biosafety-level,2027.0.0-ballot.rc2,active,,MII_VS_Biobank_Biosafety_Level,Biosafety-Level Einstufung (ValueSet),"ValueSet zur Auswahl der Biosafety-Level-Einstufung einer Probe (SNOMED CT), inklusive eines Codes für 'keine Infektionsgefahr bekannt'.","StructureDefinition/mii-ex-biobank-infektiositaetsstatus","SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-biobank/ValueSet/mii-vs-biobank-body-structures-sct,2027.0.0-ballot.rc2,active,,MII_VS_Biobank_BodyStructures_SCT,MII VS Biobank BodyStructures SCT,"Value Set for Specimen Collection Body Structures (SNOMED CT)","StructureDefinition/mii-pr-biobank-specimen,StructureDefinition/mii-pr-biobank-specimen-core,StructureDefinition/mii-pr-biobank-zellinie-organoid","SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-biobank/ValueSet/mii-vs-biobank-cellline-modification-clo,2027.0.0-ballot.rc2,active,,MII_VS_Biobank_Cellline_Modification_CLO,MII VS Biobank Cellline Modification CLO,"Value Set for Types of Cell Line Modifications (CLO)","StructureDefinition/mii-ex-biobank-modifikationen","Other"
https://www.medizininformatik-initiative.de/fhir/ext/modul-biobank/ValueSet/mii-vs-biobank-cellline-morphology-sct,2027.0.0-ballot.rc2,active,,MII_VS_Biobank_Cellline_Morphology_SCT,MII VS Biobank Cellinie Morphology SCT,"Value Set for Morphological Characteristics of Cell Lines","StructureDefinition/mii-pr-biobank-observation-morphologie","SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-biobank/ValueSet/mii-vs-biobank-cellline-proliferation,2027.0.0-ballot.rc2,active,,MII_VS_Biobank_CellLine_Proliferation,MII VS Biobank Proliferation Zellinie,"Value Set for Proliferation Status of Cell Lines/Organoids","StructureDefinition/mii-pr-biobank-observation-proliferation","SCT,Other"
https://www.medizininformatik-initiative.de/fhir/ext/modul-biobank/ValueSet/mii-vs-biobank-containertyp-sct,2027.0.0-ballot.rc2,active,,MII_VS_Biobank_Containertyp_SCT,MII VS Biobank Containertyp SCT,"Value Set for Container Types (SNOMED CT)","StructureDefinition/mii-pr-biobank-specimen,StructureDefinition/mii-pr-biobank-specimen-core,StructureDefinition/mii-pr-biobank-zellinie-organoid","SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-biobank/ValueSet/mii-vs-biobank-dna-concentration-units-ucum,2027.0.0-ballot.rc2,active,,MII_VS_Biobank_DNA_Concentration_Units_UCUM,MII VS Biobank DNA Concentration Units UCUM,"Value Set for DNA Concentration Units (UCUM)","StructureDefinition/mii-pr-biobank-observation-dna-konzentration","UCUM"
