Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-biobank-de-v2026.json	33803	-	0	0	0	0	0	0	24	259	0	0	0	0	0	0	0	1	0	0	31	209	367	0	0	0	6	0	5
fsh-generated/resources/CapabilityStatement-mii-cps-biobank-capabilitystatement.json	37909	12	0	0	2	0	0	0	6	664	0	0	0	0	0	0	0	1	0	0	9	108	133	0	0	0	3	0	1
fsh-generated/resources/CodeSystem-mii-cs-biobank-contact-type.json	2726	4	0	0	0	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	7	13	111	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-mii-cs-biobank-probenebene.json	3203	4	0	0	1	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	6	15	119	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-mii-cm-biobank-fixation-type-sprec-sct.json	3601	3	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	7	17	84	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-mii-cm-biobank-long-term-storage-sprec-sct.json	9905	5	0	0	0	0	0	0	2	13	0	0	0	0	0	0	0	0	0	0	7	34	94	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-mii-cm-biobank-primary-container-sprec-sct.json	20223	6	0	0	0	0	0	0	1	20	0	0	0	0	0	0	0	0	0	0	13	57	105	0	0	0	1	0	1
fsh-generated/resources/ConceptMap-mii-cm-biobank-sample-type-sprec-sct.json	12487	6	0	0	0	0	0	0	2	15	0	0	0	0	0	0	0	0	0	0	13	45	131	0	0	0	2	0	0
fsh-generated/resources/DocumentReference-Kulturprotokoll.json	460	3	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	9	7	21	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-ProtocolCRISPRTP53.json	541	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	9	8	13	0	0	0	0	0	0
fsh-generated/resources/Observation-DNAConcentrationObs1.json	711	3	0	0	0	0	0	0	1	262	0	0	0	0	0	0	0	0	0	0	7	9	40	0	0	0	0	0	0
fsh-generated/resources/Observation-KaryotypOrganoidLunge.json	745	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	9	9	26	0	0	0	0	0	0
fsh-generated/resources/Observation-MorphologieOrganoidLunge.json	795	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	9	8	22	0	0	0	0	0	0
fsh-generated/resources/Observation-ProliferationOrganoidLunge.json	784	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	8	26	0	0	0	0	0	0
fsh-generated/resources/Observation-QualitaetspruefungBuffyCoat.json	1500	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	46	26	0	0	0	0	0	0
fsh-generated/resources/Observation-QualitaetspruefungPlasma.json	1455	3	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	5	16	35	0	0	0	0	0	0
fsh-generated/resources/Observation-WachstumstypOrganoidLunge.json	804	2	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	5	11	24	0	0	0	0	0	0
fsh-generated/resources/Organization-BiobankMusterstadt.json	1452	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5	12	15	0	0	0	0	0	0
fsh-generated/resources/Organization-Mustersammlung.json	2225	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	11	23	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-mii-sp-biobank-infektiositaetsstatus.json	2677	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	5	15	18	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-mii-sp-biobank-specimen-feature.json	2625	2	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	4	17	17	0	0	0	0	0	1
fsh-generated/resources/SearchParameter-mii-sp-biobank-specimen-focus.json	2598	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	28	16	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-GewebeBiopsie.json	524	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	5	8	29	0	0	0	0	0	0
fsh-generated/resources/Specimen-AliquotBuffyCoat1.json	3123	3	0	0	0	0	0	0	1	116	0	0	0	0	0	0	0	0	0	0	5	20	48	0	1	0	0	0	0
fsh-generated/resources/Specimen-AliquotBuffyCoat2.json	5785	4	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	5	28	43	0	0	0	0	0	0
fsh-generated/resources/Specimen-AliquotgruppeBuffyCoat.json	4731	4	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	5	24	40	0	0	0	0	0	0
fsh-generated/resources/Specimen-AliquotgruppeDNA.json	3460	3	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	5	24	39	0	0	0	0	0	0
fsh-generated/resources/Specimen-AliquotgruppePlasma.json	4568	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	4	22	96	0	0	0	0	0	1
fsh-generated/resources/Specimen-MusterprobeFluessig.json	4342	3	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	5	22	46	0	0	0	0	0	0
fsh-generated/resources/Specimen-MusterprobeGewebe.json	5881	4	0	0	0	0	0	0	1	113	0	0	0	0	0	0	0	0	0	0	9	29	46	0	0	0	0	0	0
fsh-generated/resources/Specimen-OrganoidLunge.json	3604	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	7	18	43	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-Biobank.json	36323	12	0	74	0	0	0	2	0	814	0	0	1	0	0	0	0	1	0	0	7	537	1502	0	0	0	12	1	3
fsh-generated/resources/StructureDefinition-mii-ex-biobank-anzahl-aliquots.json	3601	4	0	16	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	0	58	286	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-mii-ex-biobank-anzahl-passagen.json	3517	3	0	13	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	1	49	333	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-mii-ex-biobank-diagnose.json	3691	4	0	15	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	51	304	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-mii-ex-biobank-ebene.json	3703	3	0	14	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	1	52	294	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-mii-ex-biobank-einstellung-blutversorgung.json	3747	3	0	14	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	1	53	290	0	0	0	1	0	1
