Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-biobank-de-v2026.json	31830	-	0	0	0	0	0	0	18	276	0	0	0	0	0	0	0	1	0	0	22	197	335	0	0	0	10	0	6
fsh-generated/resources/CapabilityStatement-mii-cps-biobank-capabilitystatement.json	36263	8	0	0	2	0	0	0	4	60	0	0	0	0	0	0	0	0	0	0	7	115	133	0	1	0	4	0	1
fsh-generated/resources/CodeSystem-mii-cs-biobank-contact-type.json	2451	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	4	11	100	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-biobank-probenebene.json	2928	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	3	17	113	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-mii-cm-biobank-fixation-type-sprec-sct.json	3351	2	0	0	0	0	0	0	1	493	0	0	0	0	0	0	0	0	0	0	3	15	86	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-mii-cm-biobank-long-term-storage-sprec-sct.json	9655	2	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	3	36	84	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-mii-cm-biobank-primary-container-sprec-sct.json	19973	4	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	3	59	91	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-mii-cm-biobank-sample-type-sprec-sct.json	12237	3	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	5	50	98	0	0	0	1	0	0
fsh-generated/resources/DocumentReference-Kulturprotokoll.json	460	2	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	3	6	16	0	0	1	0	0	0
fsh-generated/resources/DocumentReference-ProtocolCRISPRTP53.json	541	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	2	8	10	0	0	0	0	0	0
fsh-generated/resources/Observation-DNAConcentrationObs1.json	711	2	0	0	0	0	0	0	1	229	0	0	0	0	0	0	0	0	0	0	2	8	29	0	0	0	0	0	0
fsh-generated/resources/Observation-KaryotypOrganoidLunge.json	745	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	3	8	14	0	0	0	0	0	0
fsh-generated/resources/Observation-MorphologieOrganoidLunge.json	795	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	8	13	0	0	0	0	0	0
fsh-generated/resources/Observation-ProliferationOrganoidLunge.json	784	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	8	15	0	0	0	0	0	0
fsh-generated/resources/Observation-QualitaetspruefungBuffyCoat.json	1500	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	2	11	18	0	0	0	0	0	0
fsh-generated/resources/Observation-QualitaetspruefungPlasma.json	1455	2	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	3	10	16	0	0	0	0	0	0
fsh-generated/resources/Observation-WachstumstypOrganoidLunge.json	804	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	8	14	0	0	0	0	0	0
fsh-generated/resources/Organization-BiobankMusterstadt.json	1457	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	9	16	0	0	0	0	0	0
fsh-generated/resources/Organization-Mustersammlung.json	2250	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	11	17	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-GewebeBiopsie.json	524	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	6	22	0	0	0	0	0	0
fsh-generated/resources/Specimen-AliquotBuffyCoat1.json	3138	2	0	0	0	0	0	0	1	90	0	0	0	0	0	0	0	0	0	0	3	15	27	0	0	0	0	0	0
fsh-generated/resources/Specimen-AliquotBuffyCoat2.json	5820	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	2	22	26	0	0	0	0	0	0
fsh-generated/resources/Specimen-AliquotgruppeBuffyCoat.json	4756	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	3	18	23	0	0	0	0	0	1
fsh-generated/resources/Specimen-AliquotgruppeDNA.json	3475	3	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	3	17	22	0	0	0	0	0	0
fsh-generated/resources/Specimen-AliquotgruppePlasma.json	4593	2	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	2	17	23	0	0	0	0	0	0
fsh-generated/resources/Specimen-MusterprobeFluessig.json	4357	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	3	19	28	0	0	0	0	0	0
fsh-generated/resources/Specimen-MusterprobeGewebe.json	5906	2	0	0	0	0	0	0	1	90	0	0	0	0	0	0	0	0	0	0	2	21	33	0	0	0	0	0	0
fsh-generated/resources/Specimen-OrganoidLunge.json	3609	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	3	14	30	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-Biobank.json	35648	10	0	80	0	0	0	0	0	636	0	0	0	0	0	0	0	1	0	0	6	579	1513	0	0	0	16	0	1
fsh-generated/resources/StructureDefinition-mii-ex-biobank-anzahl-aliquots.json	3351	2	0	13	1	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	1	54	270	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-mii-ex-biobank-anzahl-passagen.json	3267	3	0	11	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	52	235	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-mii-ex-biobank-diagnose.json	3441	2	0	11	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	52	216	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-mii-ex-biobank-ebene.json	3453	2	0	11	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	1	54	222	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-mii-ex-biobank-einstellung-blutversorgung.json	3497	2	0	10	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	53	214	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-mii-ex-biobank-feature-r5.json	2822	2	0	21	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	1	121	295	0	0	0	3	0	0
