Output File                                                               Name                                                 Type        FSH File                                                         Lines
CapabilityStatement-mii-cps-biobank-capabilitystatement.json              mii-cps-biobank-capabilitystatement                  Instance    CapabilityStatement.fsh                                          31 - 152
CodeSystem-mii-cs-biobank-contact-type.json                               MII_CS_Biobank_Contact_Type                          CodeSystem  codesystems\CodeSystemContactType.fsh                            1 - 20
CodeSystem-mii-cs-biobank-probenebene.json                                MII_CS_Biobank_Probenebene                           CodeSystem  codesystems\CodeSystemProbenebene.fsh                            1 - 19
ConceptMap-mii-cm-biobank-fixation-type-sprec-sct.json                    mii-cm-biobank-fixation-type-sprec-sct               Instance    conceptmaps\SPRECFixationTypeMap.fsh                             1 - 34
ConceptMap-mii-cm-biobank-long-term-storage-sprec-sct.json                mii-cm-biobank-long-term-storage-sprec-sct           Instance    conceptmaps\SPRECLongTermStorageMap.fsh                          1 - 77
ConceptMap-mii-cm-biobank-primary-container-sprec-sct.json                mii-cm-biobank-primary-container-sprec-sct           Instance    conceptmaps\SPRECPrimaryContainerMap.fsh                         1 - 146
ConceptMap-mii-cm-biobank-sample-type-sprec-sct.json                      mii-cm-biobank-sample-type-sprec-sct                 Instance    conceptmaps\SPRECSampleTypeMap.fsh                               1 - 128
DocumentReference-Kulturprotokoll.json                                    Kulturprotokoll                                      Instance    instances\Kulturprotokoll.fsh                                    1 - 11
DocumentReference-ProtocolCRISPRTP53.json                                 ProtocolCRISPRTP53                                   Instance    instances\ModifikationProtokoll.fsh                              1 - 11
Observation-DNAConcentrationObs1.json                                     DNAConcentrationObs1                                 Instance    instances\DNAKonzentration.fsh                                   1 - 13
Observation-KaryotypOrganoidLunge.json                                    KaryotypOrganoidLunge                                Instance    instances\Karyotyp.fsh                                           1 - 10
Observation-MorphologieOrganoidLunge.json                                 MorphologieOrganoidLunge                             Instance    instances\MorphologieOrganoid.fsh                                1 - 10
Observation-ProliferationOrganoidLunge.json                               ProliferationOrganoidLunge                           Instance    instances\Proliferation.fsh                                      1 - 10
Observation-QualitaetspruefungBuffyCoat.json                              QualitaetspruefungBuffyCoat                          Instance    instances\Qualitaetspruefung_BuffyCoat.fsh                       1 - 12
