property	pre	post	verdict
identity.id	-	mii-ig-biobank-de-v2026	not-measurable
identity.canonical	https://www.medizininformatik-initiative.de/fhir/ext/modul-biobank	https://www.medizininformatik-initiative.de/fhir/ext/modul-biobank	unchanged
identity.packageId	de.medizininformatikinitiative.kerndatensatz.biobank	de.medizininformatikinitiative.kerndatensatz.biobank	unchanged
identity.name	de.medizininformatikinitiative.kerndatensatz.biobank	MII_IG_Biobank_DE	REGRESSION
identity.version	2026.0.1	2026.0.1	unchanged
identity.fhirVersion	4.0.1	4.0.1	unchanged
identity.license	-	CC-BY-4.0	not-measurable
identity.calver	true	true	unchanged
identity.publisher	-	Medizininformatik Initiative	not-measurable
identity.status	active	active	unchanged
identity.title	-	MII IG Kerndatensatz-Modul Biobank	not-measurable
licence.contradictory	false	false	unchanged
dependency_health.injection_risk	true	false	improved
narrative_sources.dual_source	false	true	REGRESSION
mode	static	static	unchanged
artifacts.profiles	11	11	unchanged
artifacts.extensions	11	11	unchanged
artifacts.valuesets	12	12	unchanged
artifacts.codesystems	2	2	unchanged
artifacts.logicals	1	1	unchanged
artifacts.capabilitystatements	1	1	unchanged
artifacts.questionnaires	0	0	unchanged
artifacts.searchparameters	0	0	unchanged
artifacts.operations	0	0	unchanged
artifacts.examples	25	25	unchanged
artifacts.rulesets	24	65	expected-change
artifacts.invariants	1	1	unchanged
artifacts.mappings	1	1	unchanged
artifacts.other_total	0	0	unchanged
artifacts.total	63	63	unchanged
narrative.pages	27	47	expected-change
narrative.intro_note_pages	0	8	expected-change
narrative.translation_pages	0	20	expected-change
directives.total	202	202	unchanged
